Person A,Person B,A -> B Relationship,
خمینی، سید روح‌الله,خدیجه ثقفی,Husband,
خمینی، سید روح‌الله,سید احمد خمینی,Father,
خمینی، سید روح‌الله,سید مصطفی خمینی,Father,
خمینی، سید روح‌الله,صدیقه مصطفوی,Father,
خمینی، سید روح‌الله,فریده مصطفوی,Father,
خمینی، سید روح‌الله,زهرا مصطفوی,Father,
خمینی، سید روح‌الله,سید حسن خمینی,Grandfather,
خمینی، سید روح‌الله,سید علی خمینی,Grandfather,
خمینی، سید روح‌الله,سید حسین خمینی,Grandfather,
خمینی، سید روح‌الله,سید یاسر خمینی,Grandfather,
خمینی، سید روح‌الله,لیلی بروجردی,Grandfather,
خمینی، سید روح‌الله,مسیح بروجردی,Grandfather,
خمینی، سید روح‌الله,نعیمه اشراقی,Grandfather,
خمینی، سید روح‌الله,نفیسه اشراقی,Grandfather,
خمینی، سید روح‌الله,زهرا اشراقی,Grandfather,
خمینی، سید روح‌الله,علی اشراقی,Grandfather,
خمینی، سید روح‌الله,عاطفه اشراقی,Grandfather,
خمینی، سید روح‌الله,محمدتقی اشراقی,Grandfather,
خمینی، سید روح‌الله,مرتضی اشراقی,Grandfather,
خمینی، سید روح‌الله,زهراسادات روحانی,Grand grandfather,
خمینی، سید روح‌الله,محمود بروجردی,Wife's father,
خمینی، سید روح‌الله,محمدحسن اعرابی,Wife's father,
خمینی، سید روح‌الله,شهاب‌الدین اشراقی,Wife's father,
خمینی، سید احمد,سید روح‌الله خمینی,Son,
خمینی، سید احمد,سیده فاطمه طباطبایی,Husband,
خمینی، سید احمد,سید حسن خمینی,Father,
خمینی، سید احمد,سید علی خمینی,Father,
خمینی، سید احمد,سید یاسر خمینی,Father,
خمینی، سید احمد,محمدباقر طباطبایی,Daughter's husband,
خمینی، سید احمد,سید صادق طباطبایی,Sister's husband,
خمینی، سید احمد,سید مرتضی طباطبایی,Sister's husband,
خمینی، سید احمد,سید محمد صدر,Daughter's husband's father,
خمینی، سید حسن,سید روح‌الله خمینی,Grandson,
خمینی، سید حسن,سید احمد خمینی,Son,
خمینی، سید حسن,سید علی خمینی,Brother,
خمینی، سید حسن,سید یاسر خمینی,Brother,
خمینی، سید حسن,سید محمد موسوی بجنوردی,Daughter's husband,
خمینی، سید مصطفی,سید روح‌الله خمینی,Son,
خمینی، سید مصطفی,سید حسین خمینی,Father,
خمینی، سید مصطفی,سیده مریم خمینی,Father,
خمینی، سید مصطفی,مرتضی حائری یزدی,Daughter's husband,
خمینی، سید یاسر,سید روح‌الله خمینی,Grandson,
خمینی، سید یاسر,سید احمد خمینی,Son,
خمینی، سید یاسر,سید حسن خمینی,Brother,
خمینی، سید یاسر,سید علی خمینی,Brother,
خمینی، سید یاسر,سید محمد صدر,Daughter's husband,
خمینی، سیدعلی,سید احمد خمینی,Son,
خمینی، سیدعلی,سید روح‌الله خمینی,Grandson,
خمینی، سیدعلی,سید حسن خمینی,Brother,
خمینی، سیدعلی,سید یاسر خمینی,Brother,
خمینی، سیدعلی,آیت‌الله شهرستانی,Daughter's husband,
خمینی، سیدعلی,آیت‌الله سیدعلی سیستانی,Granddaughter's husband,
اعرابی، فرشته,سید روح‌الله خمینی,Granddaughter,
اعرابی، فرشته,فریده مصطفوی,Daughter,
اعرابی، فرشته,محمدحسن اعرابی,Daughter,
اعرابی، فرشته,سید مرتضی طباطبایی,Wife,
اعرابی، فرشته,سید عمادالدین طباطبایی,Mother,
اعرابی، فرشته,سید حسین طباطبایی,Mother,
اشراقی، نعیمه,سید روح‌الله خمینی,Granddaughter,
اشراقی، نعیمه,شهاب‌الدین اشراقی,Daughter,
اشراقی، نعیمه,صدیقه مصطفوی,Daughter,
اشراقی، نعیمه,سید جلال الدین طاهری اصفهانی,Son's wife,
اشراقی، شهاب‌الدین,سید روح‌الله خمینی,Daughter's husband,
اشراقی، شهاب‌الدین,صدیقه مصطفوی,Husband,
اشراقی، شهاب‌الدین,نعیمه اشراقی,Father,
اشراقی، شهاب‌الدین,نفیسه اشراقی,Father,
اشراقی، شهاب‌الدین,زهرا اشراقی,Father,
اشراقی، شهاب‌الدین,علی اشراقی,Father,
اشراقی، شهاب‌الدین,عاطفه اشراقی,Father,
اشراقی، شهاب‌الدین,مرتضی اشراقی,Father,
اشراقی، شهاب‌الدین,محمدتقی اشراقی,Father,
اشراقی، مرتضی,سید روح‌الله خمینی,Grandson,
اشراقی، مرتضی,محمدرضا خاتمی,Wife's brother,
اشراقی، مرتضی,سید مصطفی محقق داماد,Granddaughter's husband,
اشراقی، نفیسه,سید روح‌الله خمینی,Granddaughter,
اشراقی، نفیسه,صدیقه مصطفوی,Daughter,
اشراقی، نفیسه,محمدصادق روحانی,Son's wife,
اشراقی، زهرا,محمدرضا خاتمی,Wife,
اشراقی، زهرا,سید روح الله خمینی,Granddaughter,
اشراقی، زهرا,صدیقه مصطفوی,Daughter,
اشراقی، زهرا,شهاب الدین اشراقی,Daughter,
اشراقی، زهرا,سید مسعود خامنه‌ای,Wife's brother's son's wife's mother (مادر عروس برادرزن),
بروجردی، محمود,سید روح‌الله خمینی,Daughter's husband,
بروجردی، محمود,زهرا مصطفوی,Husband,
بروجردی، محمود,مسیح بروجردی,Father,
بروجردی، محمود,لیلی بروجردی,Father,
بروجردی، محمود,سیده هدی طباطبایی,Grandfather,
بروجردی، لیلی,نوه‌ی سید روح‌الله خمینی,Granddaughter,
بروجردی، لیلی,محمود بروجردی,Daughter,
بروجردی، لیلی,زهرا مصطفوی,Daughter,
بروجردی، لیلی,مسیح بروجردی,Sister,
بروجردی، لیلی,سیدعبدالحسین طباطبایی سلطانی,Wife,
بروجردی، لیلی,سیده هدی طباطبایی,Mother,
بروجردی، لیلی,سیده ضحی طباطبایی,Mother,
بروجردی، لیلی,محسن رضایی,Son's wife's mother (مادرعروس),
بروجردی، مسیح,نوه‌ی سید روح‌الله خمینی,Granddaughter,
بروجردی، مسیح,محمود بروجردی,Son,
بروجردی، مسیح,زهرا مصطفوی,Son,
بروجردی، مسیح,لیلی بروجردی,Brother,
بروجردی، مسیح,داماد سید محمد میرمحمدی زرندی,Daughter's husband,
حائری یزدی، مرتضی,پسرعبدالکریم حائری یزدی,Son,
حائری یزدی، مرتضی,مهدی حائری یزدی,‌Brother,
حائری یزدی، مرتضی,سید مصطفی خمینی,Wife's father,
رضایی، محسن,سیده هدی طباطبایی,Husband's father,
رضایی، محسن,برادرامیدواررضایی وهمسرمعصومه خدنگ,Brother,
رضایی، محسن,برادرامیدواررضایی وهمسرمعصومه خدنگ,Husband,
رضایی، امیدوار,محسن رضایی,Brother,
رضایی، امیدوار,سید روح‌الله خمینی,Grand granddaughter's husband's father's brother (عموی شوهر نتیجه‌),
روحانی، زهراسادات,سید روح‌الله خمینی,Grand granddaughter,
روحانی، زهراسادات,نفیسه اشراقی,Daughter,
روحانی، زهراسادات,سید کاظم روحانی,Daughter,
روحانی، زهراسادات,عماد هاشمی بهرمانی,Wife,
صدر، سید محمد,سید یاسر خمینی,Wife's father,
صدر، سید محمد,زهره صادقی,Mother's sister's son,
صدر، سید محمد,فاطمه طباطبایی,Mother's sister's son,
طاهری اصفهانی، سید جلال,نعیمه اشراقی,Husband's father,
طباطبایی سلطانی، سیدعبدالحسین,محمود بروجردی,Daughter's husband,
طباطبایی سلطانی، سیدعبدالحسین,زهرا مصطفوی,Daughter's husband,
طباطبایی سلطانی، سیدعبدالحسین,همسرلیلی بروجردی,Husband,
طباطبایی سلطانی، سیدعبدالحسین,مسیح بروجردی,Sister's husband,
طباطبایی سلطانی، سیدعبدالحسین,سیده هدی طباطبایی,Father,
طباطبایی سلطانی، سید محمدباقر,سید احمد خمینی,Wife's father,
طباطبایی سلطانی، سید محمدباقر,سیدعبدالحسین طباطبایی سلطانی,Father,
طباطبایی سلطانی، سید محمدباقر,سید صادق طباطبایی سلطانی,Father,
طباطبایی سلطانی، سید محمدباقر,سید مرتضی طباطبایی سلطانی,Father,
طباطبایی سلطانی، سید محمدباقر,سیده فاطمه طباطبایی سلطانی,Father,
طباطبایی سلطانی، سید مرتضی,سید احمد خمینی,Wife's brother,
طباطبایی سلطانی، سید مرتضی,سید محمدباقر طباطبایی سلطانی,Son,
طباطبایی سلطانی، سید مرتضی,سید صادق طباطبایی سلطانی,Brother,
طباطبایی سلطانی، سید مرتضی,سید عبدالحسین طباطبایی سلطانی,Brother,
طباطبایی سلطانی، سید مرتضی,سیده فاطمه طباطبایی سلطانی,Brother,
طباطبایی سلطانی، سید مرتضی,همسرفرشته اعرابی,Husband,
طباطبایی سلطانی، سید مرتضی,موسی صدر,Sister's son,
طباطبایی سلطانی، سید مرتضی,سیده هدی طباطبایی,Father's brother,
طباطبایی سلطانی، سید صادق,سید احمد خمینی,Wife's brother,
طباطبایی سلطانی، سید صادق,سید محمدباقر طباطبایی سلطانی,Son,
طباطبایی سلطانی، سید صادق,سید مرتضی طباطبایی سلطانی,Brother,
طباطبایی سلطانی، سید صادق,سید عبدالحسین طباطبایی سلطانی,Brother,
طباطبایی سلطانی، سید صادق,سیده فاطمه طباطبایی سلطانی,Brother,
طباطبایی سلطانی، سید صادق,سید محمد خاتمی,Wife's mother's sister's son (پسرخاله‌ی همسر),
طباطبایی سلطانی، سید صادق,موسی صدر,Sister's son,
طباطبایی سلطانی، سید صادق,فاطمه صدر,Husband,
طباطبایی سلطانی، سید صادق,سیده هدی طباطبایی,Father's brother,
طباطبایی سلطانی، سیده فاطمه,سید محمدباقر طباطبایی سلطانی,Daughter,
طباطبایی سلطانی، سیده فاطمه,سید عبدالحسین طباطبایی سلطانی,Sister,
طباطبایی سلطانی، سیده فاطمه,سید صادق طباطبایی سلطانی,Sister,
طباطبایی سلطانی، سیده فاطمه,سید مرتضی طباطبایی سلطانی,Sister,
طباطبایی سلطانی، سیده فاطمه,سید احمد خمینی,Wife,
طباطبایی سلطانی، سیده فاطمه,زهره صادقی,Mother's sister's daughter,
طباطبایی سلطانی، سیده فاطمه,موسی صدر,Sister's daughter,
طباطبایی سلطانی، سیده هدی,سید روح‌الله خمینی,Grand granddaughter,
طباطبایی سلطانی، سیده هدی,لیلی بروجردی,Daughter,
طباطبایی سلطانی، سیده هدی,سید عبدالحسین طباطبایی سلطانی,Daughter,
طباطبایی سلطانی، سیده هدی,علی رضایی میرقائد,Wife,
طباطبایی سلطانی، سیده هدی,محسن رضایی,Son's wife,
طباطبایی سلطانی، سیده هدی,سید صادق طباطبایی,Brother's daughter,
مصطفوی، زهرا,دخترسید روح‌الله خمینی,Daughter,
مصطفوی، زهرا,همسرمحمود بروجردی ومادرمسیح ولیلی بروجردی,Wife,
مصطفوی، زهرا,همسرمحمود بروجردی ومادرمسیح ولیلی بروجردی,Mother,
مصطفوی، زهرا,همسرمحمود بروجردی ومادرمسیح ولیلی بروجردی,Mother,
مصطفوی، فریده,دختر سید روح‌الله خمینی وهمسر محمدحسن اعرابی,Daughter,
مصطفوی، فریده,دختر سید روح‌الله خمینی وهمسر محمدحسن اعرابی,Wife,
موسوی بجنوردی، سید محمد,پدرهمسرسید حسن خمینی وبرادرسید محمدکاظم موسوی بجنوردی,Wife's father,
موسوی بجنوردی، سید محمد,پدرهمسرسید حسن خمینی وبرادرسید محمدکاظم موسوی بجنوردی,Brother,
موسوی بجنوردی، سید محمدکاظم,برادرسید محمد موسوی بجنوردی وعموی همسرسید حسن خمینی.,Brother,
موسوی بجنوردی، سید محمدکاظم,برادرسید محمد موسوی بجنوردی وعموی همسرسید حسن خمینی.,Wife's father's brother,
هاشمی رفسنجانی، اکبر,عماد هاشمی بهرمانی,Grandfather,
هاشمی رفسنجانی، اکبر,محمد هاشمی بهرمانی,Brother,
هاشمی رفسنجانی، اکبر,فائزه هاشمی بهرمانی,Father,
هاشمی رفسنجانی، اکبر,فاطمه هاشمی بهرمانی,Father,
هاشمی رفسنجانی، اکبر,محسن هاشمی بهرمانی,Father,
هاشمی رفسنجانی، اکبر,یاسر هاشمی بهرمانی,Father,
هاشمی رفسنجانی، اکبر,مهدی هاشمی بهرمانی,Father,
هاشمی رفسنجانی، اکبر,محمد هاشمیان,Wife's brother,
هاشمی رفسنجانی، اکبر,محمد هاشمیان,Father's brother's son,
هاشمی رفسنجانی، اکبر,سید حسین مرعشی,Sister's husband,
هاشمی رفسنجانی، اکبر,مرجان هاشمی بهرمانی,Father's brother,
هاشمی رفسنجانی، اکبر,علی هاشمی بهرمانی,Father's brother,
هاشمی رفسنجانی، اکبر,حسین هاشمیان,Father's brother's son,
هاشمی رفسنجانی، اکبر,عفت مرعشی,Husband,
میرمحمدی [زرندی]، سید ابوالفضل,آیت‌الله سید احمد زنجانی,Daughter's husband,
میرمحمدی [زرندی]، سید ابوالفضل,موسی شبیری زنجانی,Wife's brother,
میرمحمدی [زرندی]، سید ابوالفضل,سید محمد میرمحمدی [زرندی],Father,
میرمحمدی [زرندی]، سید ابوالفضل,مسیح بروجردی,Wife's grandfather,
میرمحمدی [زرندی]، سید محمد,سید ابوالفضل میرمحمدی [زرندی],Son,
میرمحمدی [زرندی]، سید محمد,مسیح بروجردی,Wife's father,
خامنه‌ای، سید علی,سید هادی خامنه‌ای,Brother,
خامنه‌ای، سید علی,سید محمود خامنه‌ای,Brother,
خامنه‌ای، سید علی,پدرسید مجتبی خامنه‌ای,Father,
خامنه‌ای، سید علی,سید مصطفی خامنه‌ای,Father,
خامنه‌ای، سید علی,سید میثم خامنه‌ای,Father,
خامنه‌ای، سید علی,سیده بشری خامنه‌ای,Father,
خامنه‌ای، سید علی,سیده هدی خامنه‌ای,Father,
خامنه‌ای، سید علی,سید مسعود خامنه‌ای,Father,
خامنه‌ای، سید علی,علیمراد تهرانی (شیخ علی تهرانی),Wife's brother,
خامنه‌ای، سید علی,غلامعلی حدادعادل,Daughter's husband's father,
خامنه‌ای، سید علی,حسن خجسته باقرزاده,Sister's husband,
خامنه‌ای، سید علی,منصوره خجسته باقرزاده,Husband,
خامنه‌ای، سید هادی,سید علی خامنه‌ای,Brother,
خامنه‌ای، سید هادی,سید محمود خامنه‌ای,Brother,
خامنه‌ای، سید مسعود,سید علی خامنه‌ای,Son,
خامنه‌ای، سید مسعود,سید صادق خرازی,Sister's husband,
خامنه‌ای، سید مسعود,سید محسن خرازی,Daughter's husband,
خامنه‌ای، سید مسعود,سید محمدصادق خرازی,Sister's husband,
خامنه‌ای، سید مسعود,سید محمدباقر خرازی,Sister's husband,
خامنه‌ای، سید محمد,سید علی خامنه‌ای,Brother,
خامنه‌ای، سید محمد,سید هادی خامنه‌ای,Brother,
خامنه‌ای، سید مجتبی,سید علی خامنه‌ای,Son,
خامنه‌ای، سید مجتبی,غلامعلی حداد عادل,Daughter's husband,
خامنه‌ای، سید مصطفی,سید علی خامنه‌ای,Son,
خامنه‌ای، سید مصطفی,عزیزالله خوشوقت,Daughter's husband,
باقری کنی، محمدباقر,سید علی خامنه‌ای,Daughter's husband's father,
باقری کنی، محمدباقر,محمدرضا مهدوی کنی,Brother,
باقری کنی، محمدباقر,علی باقری کنی,Father,
باقری کنی، محمدباقر,مصباح‌الهدی باقری کنی,Father,
تهرانی، علیمراد [شیخ علی],سید علی خامنه‌‌ای,Sister's husband,
تهرانی، علیمراد [شیخ علی],سید هادی خامنه‌ای,Sister's husband,
تهرانی، علیمراد [شیخ علی],سید محمد خامنه‌ای,Sister's husband,
حداد عادل، غلامعلی,سید مجتبی خامنه‌ای,Wife's father,
حداد عادل، غلامعلی,طیبه ماهروزاده,Husband,
خرازی، سید محسن,سید مسعود خامنه‌ای,Wife's father,
خرازی، سید محسن,سید محمدصادق خرازی,Father,
خرازی، سید محسن,سید محمدباقر خرازی,Father,
خرازی، سید محسن,سید علی نقی (کمال) خرازی,Brother,
خرازی، سید محسن,سید مسعود خامنه‌ای,Wife's father,
خرازی، سید محسن,سید محمدرضا خاتمی,Daughter's husband's grandfather,
خرازی، سید کمال,سید علی خامنه‌ای,Son's wife's father's brother (عموی عروس),
خرازی، سید کمال,سید محمدرضا خاتمی,Daughter's husband's father's brother (عموی داماد),
خرازی، سید کمال,سید محسن خرازی,Brother,
خرازی، سید کمال,منصوره رئیس‌قاسم,Husband,
خرازی، سید کمال,محمدصادق خرازی,Father's brother,
خرازی، سید کمال,محمدباقر خرازی,Father's brother,
خرازی، سید کمال,سیدعلی خامنه‌ای,Son's wife's father's brother (عموی عروس),
خرازی، سید کمال,سید محمدرضا خاتمی,Daughter's husband's father's brother (عموی داماد),
خرازی، سید محمد صادق,سید علی خامنه‌ای,Son's wife's brother,
